equation,id,f_value,operating_condition,if,low_impact,inactive
C3H5 + C3H8 <=> C3H6 + nC3H7,503,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.003721962049674356,True,True
C3H8 + O2 <=> HO2 + iC3H7,504,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01187845188815192,True,True
C3H8 + O2 <=> HO2 + nC3H7,505,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0034808875825195706,True,True
C3H8 + CH3 <=> CH4 + iC3H7,506,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011544621163778378,True,True
C3H8 + CH3 <=> CH4 + nC3H7,507,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.00039834153657770623,True,True
C3H8 + HO2 <=> H2O2 + iC3H7,508,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.024931604395076103,True,True
C3H8 + HO2 <=> H2O2 + nC3H7,509,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.013692561925549733,True,True
C3H8 + OH <=> H2O + iC3H7,510,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0010837708210232212,True,True
C3H8 + OH <=> H2O + nC3H7,511,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0017432749115774407,True,True
C3H8 + O <=> OH + iC3H7,512,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01460513105482047,True,True
C3H8 + O <=> OH + nC3H7,513,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.008509634046154542,True,True
C3H8 + H <=> H2 + iC3H7,514,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0207993760990444,True,True
C3H8 + H <=> H2 + nC3H7,515,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.00021465678766138753,True,True
C3H8 <=> H + nC3H7,516,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.013308557854798063,True,True
C3H8 (+M) <=> C2H5 + CH3 (+M),517,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.009576780554557702,True,True
C2H5O2 + C3H8 <=> C2H5O2H + iC3H7,518,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.00296089809816955,True,True
C2H5O2 + C3H8 <=> C2H5O2H + nC3H7,519,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0036344655949933848,True,True
C4H2 + OH <=> C3H2 + HCO,520,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01309526997255366,True,True
C4H2 + OH <=> C4H + H2O,521,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.025538652459764447,True,True
C4H2 + O <=> C3H2 + CO,522,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0037808772216815553,True,True
C2H + C2H2 <=> C4H2 + H,523,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02298253506940803,True,True
C4H2 + M <=> C4H + H + M,524,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011672619408099794,True,True
C4H2 <=> 2 C2H,525,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.024265106296728133,True,True
C2H3 + H2CCCCH <=> 2 H2CCCH,526,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010706785074800525,True,True
CH2 + H2CCCCH <=> C2H + C3H4,527,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.004686641237157801,True,True
H2 + H2CCCCH <=> C2H2 + C2H3,528,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010699975882578063,True,True
H2CCCCH + O2 <=> CH2CO + HCCO,529,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005025380535065255,True,True
H2CCCCH + OH <=> C4H2 + H2O,530,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0074683457511930396,True,True
H2CCCCH + O <=> C2H + CH2CO,531,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01912613006869906,True,True
H + H2CCCCH <=> C4H2 + H2,532,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.016994770264475018,True,True
C3H2 + CH2 <=> H + H2CCCCH,533,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01772877840999706,True,True
C2H + C2H2 <=> H2CCCCH,534,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007395598095894308,True,True
CH + H2CCCH <=> H + H2CCCCH,535,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.003284984307209471,True,True
2 C2H2 <=> H + H2CCCCH,536,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.016903367561756553,True,True
C4H2 + H (+M) <=> H2CCCCH (+M),537,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010679566780454407,True,True
C2H3 + C4H4 <=> C2H4 + H2CCCCH,538,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.014704862459333423,True,True
C2H + C4H4 <=> C2H2 + H2CCCCH,539,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.028636794550926933,True,True
C2H + C4H4 <=> C2H3 + C4H2,540,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.009032248012763491,True,True
C4H4 + OH <=> H2CCCCH + H2O,541,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.003696761019378146,True,True
C4H4 + O <=> C3H4 + CO,542,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.009790726010003713,True,True
C2H2 + C2H3 <=> C4H4 + H,543,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0008811183540886676,True,True
CH2 + H2CCCH <=> C4H4 + H,544,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010763749280442854,True,True
C4H4 + H <=> H2 + H2CCCCH,545,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.025346241719504694,True,True
C4H4 + O <=> H2CCCH + HCO,546,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0013489797564458562,True,True
C4H4 + M <=> H + H2CCCCH + M,547,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.014932011030719809,True,True
C4H4 <=> 2 C2H2,548,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.03641269423728014,True,True
C3H2 + CH3 <=> C4H4 + H,549,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.004426588903767678,True,True
C2H + C2H4 <=> C4H4 + H,550,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.00824200762284552,True,True
C2H + i-C4H5 <=> 2 H2CCCH,551,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0083265772226469,True,True
OH + i-C4H5 <=> C4H4 + H2O,552,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.017957523251785762,True,True
H + i-C4H5 <=> CH3 + H2CCCH,553,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005288392175290426,True,True
H + i-C4H5 <=> C4H4 + H2,554,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.006277242834033457,True,True
O2 + i-C4H5 <=> CH2CHO + CH2CO,555,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011843912322535309,True,True
O2 + i-C4H5 <=> C4H4 + HO2,556,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.014451880178958706,True,True
i-C4H5 (+M) <=> C4H4 + H (+M),557,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0004801562888213951,True,True
i-C4H5 + M <=> C2H2 + C2H3 + M,558,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.03281521255435232,True,True
2 C2H3 <=> H + i-C4H5,559,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.015196323665617403,True,True
C4H6 + H2CCCH <=> C3H4 + i-C4H5,560,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.003184939232793022,True,True
C2H3 + C4H6 <=> C2H4 + i-C4H5,561,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.003123630407202091,True,True
C4H6 + CH3 <=> CH4 + i-C4H5,562,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.024983157733115154,True,True
C4H6 + OH <=> C2H3 + CH3CHO,563,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.027146876685777012,True,True
C4H6 + OH <=> C2H5 + CH2CO,564,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.022029325923331206,True,True
C4H6 + OH <=> H2O + i-C4H5,565,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.008580000003474088,True,True
C4H6 + H <=> H2 + i-C4H5,566,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005388680241849802,True,True
C4H6 + H <=> C3H4 + CH3,567,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.009080792424533638,True,True
C4H6 + O <=> C3H5 + CO + H,568,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01102716752474673,True,True
C4H6 + O <=> OH + i-C4H5,569,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.014233543657608112,True,True
C4H6 + O2 <=> HO2 + i-C4H5,570,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.030358920153928524,True,True
C4H6 <=> C2H2 + C2H4,571,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005238295109276716,True,True
C4H6 <=> C4H4 + H2,572,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.025899612576674363,True,True
C4H6 <=> H + i-C4H5,573,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01446351972771081,True,True
CH3 + H2CCCH (+M) <=> C4H6 (+M),574,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.027799137225570467,True,True
C2H3 + C2H4 <=> C4H6 + H,575,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.03013521762177864,True,True
2 C2H3 <=> C4H6,576,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011528857429398989,True,True
C3H5 + nC4H7 <=> C3H6 + C4H6,577,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.017154176119725275,True,True
C2H5 + nC4H7 <=> C2H6 + C4H6,578,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.021260271169968707,True,True
C2H3 + nC4H7 <=> C2H4 + C4H6,579,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0014316839721723513,True,True
CH3 + nC4H7 <=> C4H6 + CH4,580,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.022716996079224106,True,True
H + nC4H7 <=> C4H6 + H2,581,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.05399348800875928,True,True
O2 + nC4H7 <=> C4H6 + HO2,582,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.00035988934075987096,True,True
nC4H7 + M <=> C3H4 + CH3 + M,583,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.008105751167326293,True,True
nC4H7 + M <=> C2H3 + C2H4 + M,584,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.00363633165295554,True,True
nC4H7 + M <=> C4H6 + H + M,585,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.021529076776436156,True,True
C2H5 + nC4H7 <=> C2H4 + C4H8,586,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0011565832506427068,True,True
C4H8 <=> H + nC4H7,587,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010542588773947259,True,True
C4H8 <=> C3H5 + CH3,588,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.014581891641841139,True,True
C2H3 + C2H5 => C4H8,589,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01829002065036527,True,True
C3H5 + C4H8 <=> C3H6 + nC4H7,590,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010304316057731203,True,True
C4H8 + H <=> H2 + nC4H7,591,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007113885909415833,True,True
C4H8 + HO2 <=> H2O2 + nC4H7,592,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011225308844667338,True,True
C2H5 + C4H8 <=> C2H6 + nC4H7,593,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.012795861601163435,True,True
C4H8 + CH3 <=> CH4 + nC4H7,594,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007858628020998742,True,True
C4H8 + OH <=> H2O + nC4H7,595,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010447779086915155,True,True
C4H8 + O <=> OH + nC4H7,596,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02269027337256738,True,True
C4H8 + OH <=> CH2O + nC3H7,597,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007597836783501544,True,True
C4H8 + OH <=> C2H5 + CH3CHO,598,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.014235153964327084,True,True
C4H8 + O <=> C2H4 + CH3CHO,599,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.012912230974344964,True,True
C4H8 + O => C2H5 + CH3 + CO,600,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.004294015363792921,True,True
C4H8 + O <=> C3H6 + CH2O,601,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.002633578443538771,True,True
C4H8 + OH => C2H6 + CH3 + CO,602,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.05698377945704725,True,True
C4H8 + O <=> HCO + nC3H7,603,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.018481564461100615,True,True
C2H3 + H2CCCH <=> C5H5 + H,604,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.014031562376234244,True,True
C5H5 <=> C2H2 + H2CCCH,605,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02585266010225064,True,True
C5H5 + O2 <=> C2H2 + CH2CO + HCO,606,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.023941995225100748,True,True
C5H6 + O2 <=> C5H5 + HO2,607,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.009928154906805629,True,True
C5H5 + O <=> CO + i-C4H5,608,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011344908609144168,True,True
C5H6 + H <=> C5H5 + H2,609,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02120136014709733,True,True
C5H6 + H <=> C2H2 + C3H5,610,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005157170729425435,True,True
C5H5 + H <=> C5H6,611,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01838172739094064,True,True
C5H5 + OH <=> 2 C2H2 + CH2O,612,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02233551721007297,True,True
C5H6 + OH <=> C5H5 + H2O,613,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.027132265680529576,True,True
C5H6 + HO2 <=> C5H5 + H2O2,614,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007956021181889771,True,True
C2H3 + C5H6 <=> C2H4 + C5H5,615,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.009827191377148867,True,True
C6H5O <=> C5H5 + CO,616,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01480199832411672,True,True
C6H5O + O <=> C5H5 + CO2,617,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.003199640992291889,True,True
C6H5O + H <=> C5H6 + CO,618,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.022648486916854366,True,True
C6H5O + H <=> C6H5OH,619,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.004415581627012387,True,True
C6H5OH <=> C5H6 + CO,620,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011208721569443832,True,True
C6H5OH + O <=> C6H5O + OH,621,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.022288980399423248,True,True
C6H5OH + H <=> C6H5O + H2,622,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.019533345499153483,True,True
C6H5OH + OH <=> C6H5O + H2O,623,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011595423693508834,True,True
C2H3 + C6H5OH <=> C2H4 + C6H5O,624,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02142229197226615,True,True
2 H2CCCH <=> A1,625,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0067909224106438605,True,True
2 H2CCCH <=> A1- + H,626,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007888430539811028,True,True
C2H3 + H2CCCCH <=> A1,627,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.006277927174136463,True,True
C2H3 + H2CCCCH <=> A1- + H,628,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0003015695731558767,True,True
C3H4 + H2CCCH <=> A1 + H,629,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.023549222004134368,True,True
C2H3 + C4H4 <=> A1 + H,630,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.04174225263963366,True,True
C2H2 + H2CCCCH <=> A1-,631,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0002445869623186707,True,True
C2H2 + C4H4 <=> A1- + H,632,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.00538438291026799,True,True
C2H2 + i-C4H5 <=> A1 + H,633,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01588408042776548,True,True
C2H3 + i-C4H5 <=> A1 + H2,634,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01127465284975467,True,True
C2H + i-C4H5 <=> A1,635,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02091696944135058,True,True
C2H + i-C4H5 <=> A1- + H,636,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0032542139350482165,True,True
C5H5 + CH3 <=> A1 + 2 H,637,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0005611724473712357,True,True
C2H3 + C5H6 <=> A1 + CH3,638,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.014810711945233994,True,True
A1 <=> A1- + H,639,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01311808941820108,True,True
A1 + O2 <=> A1- + HO2,640,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005706327271491703,True,True
A1 + O <=> A1- + OH,641,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.002366077497692588,True,True
A1 + O <=> C6H5OH,642,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.03749000057701023,True,True
A1 + O <=> C6H5O + H,643,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.020373392701230706,True,True
A1 + H <=> A1- + H2,644,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.003353752332872131,True,True
A1 + OH <=> C6H5OH + H,645,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0035953064444950943,True,True
A1 + OH <=> A1- + H2O,646,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02542932903560974,True,True
A1- + O2 <=> C6H5O + O,647,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.00407968368109023,True,True
A1- + O <=> C5H5 + CO,648,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.013629942615223656,True,True
A1- + OH <=> C6H5O + H,649,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.006508988683626044,True,True
A1- + C6H5OH <=> A1 + C6H5O,650,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.017916024820558138,True,True
C3H4 + i-C4H5 <=> C7H8 + H,651,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.03168446786960692,True,True
H2CCCH + i-C4H5 <=> C7H7 + H,652,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.006406931551163954,True,True
A1 + CH2 <=> C7H8,653,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.017814293560014394,True,True
A1 + CH2(S) <=> C7H8,654,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0006797702737672587,True,True
C7H8 <=> A1- + CH3,655,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.020779067446220354,True,True
H2CCCH + i-C4H5 <=> C7H8,656,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01992149790475081,True,True
C7H8 + O2 <=> C7H7 + HO2,657,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.023253599021510026,True,True
C7H8 + O <=> C7H7 + OH,658,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011189279050470806,True,True
C7H8 + H <=> A1 + CH3,659,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.015601948557869281,True,True
C7H8 + H <=> C7H7 + H2,660,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0037814667559642246,True,True
C7H8 + OH <=> C7H7 + H2O,661,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007941187624761937,True,True
C7H8 + HO2 <=> C7H7 + H2O2,662,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0005463374144869018,True,True
C7H8 + CH3 <=> C7H7 + CH4,663,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011679353871088448,True,True
C2H3 + C7H8 <=> C2H4 + C7H7,664,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.020526693165619,True,True
C7H8 + H2CCCH <=> C3H4 + C7H7,665,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.023564325155691488,True,True
C3H5 + C7H8 <=> C3H6 + C7H7,666,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0022501180034064103,True,True
C5H5 + C7H8 <=> C5H6 + C7H7,667,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.013739535378250381,True,True
A1- + C7H8 <=> A1 + C7H7,668,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0014955439430046464,True,True
C6H5O + C7H8 <=> C6H5OH + C7H7,669,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0013904257754000233,True,True
C7H8 + HCO <=> C7H7 + CH2O,670,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0031855782213813105,True,True
C7H8 + i-C4H5 <=> C4H6 + C7H7,671,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0044053073729382365,True,True
C7H7 + H2CCCH <=> C3H2 + C7H8,672,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010287375628790495,True,True
C7H7 + HO2 <=> A1- + CH2O + OH,673,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007474182164939288,True,True
C7H7 + O2 <=> A1- + HCO + OH,674,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.015158937539452346,True,True
C7H7 + HO2 <=> A1 + HCO + OH,675,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0027492330411877583,True,True
C7H7 + OH <=> A1- + CH2OH,676,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.001971166600452804,True,True
A1- + CH3 <=> C7H7 + H,677,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.004654614551705167,True,True
C7H7 <=> C4H4 + H2CCCH,678,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02544165518359775,True,True
C7H7 <=> C2H2 + C5H5,679,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005162122047495966,True,True
C7H7 + O <=> A1 + HCO,680,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.012882420137029555,True,True
C7H7 + O <=> A1- + CH2O,681,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.03539004351154841,True,True
C7H7 + H <=> C7H8,682,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005723117063243032,True,True
C7H7 + H + OH <=> A1 + CH2OH,683,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.012679192734619482,True,True
C4H2 + i-C4H5 <=> A1C2H + H,684,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0009819252543272008,True,True
